구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2022년08월25일,2034.59,1738.54,1838.60,1615.53
2022년08월26일,2033.17,1737.77,1838.58,1614.97
2022년08월27일,2031.17,1738.00,1838.82,1615.99
2022년08월28일,2031.36,1738.06,1839.07,1616.41
2022년08월29일,2032.54,1738.53,1840.79,1616.73
2022년08월30일,2032.52,1740.46,1845.33,1619.88
2022년08월31일,2032.98,1741.71,1847.37,1621.05
2022년09월01일,2033.17,1742.51,1850.30,1622.56
2022년09월02일,2032.51,1742.01,1850.70,1622.94
2022년09월03일,2030.60,1741.46,1850.67,1623.43
2022년09월04일,2031.59,1741.41,1850.76,1623.35
2022년09월05일,2032.85,1741.49,1851.27,1623.70
2022년09월06일,2032.40,1741.42,1851.76,1623.68
2022년09월07일,2031.53,1740.99,1852.57,1624.42
2022년09월08일,2030.33,1740.61,1853.89,1624.55
2022년09월09일,2028.11,1740.42,1854.92,1624.49
2022년09월10일,2026.69,1740.44,1855.39,1624.57
2022년09월11일,2026.31,1740.46,1855.82,1624.58
2022년09월12일,2027.06,1740.15,1856.09,1624.40
2022년09월13일,2026.87,1740.54,1857.38,1624.09
2022년09월14일,2025.91,1740.38,1858.63,1623.99
2022년09월15일,2025.44,1740.34,1860.41,1624.02
2022년09월16일,2024.43,1739.33,1860.74,1623.93
2022년09월17일,2021.46,1737.72,1859.89,1623.84
2022년09월18일,2021.20,1736.95,1859.21,1623.79
2022년09월19일,2021.26,1735.73,1858.61,1623.32
2022년09월20일,2018.87,1731.92,1855.12,1621.43
2022년09월21일,2014.17,1728.37,1852.35,1619.98
2022년09월22일,2009.60,1724.95,1849.76,1618.06
2022년09월23일,2006.07,1721.16,1847.31,1616.65
2022년09월24일,2000.62,1717.19,1844.45,1615.40
2022년09월25일,1999.46,1715.25,1843.21,1614.71
2022년09월26일,1997.82,1711.53,1841.00,1613.44
2022년09월27일,1992.78,1705.43,1836.98,1611.71
2022년09월28일,1985.71,1698.78,1832.33,1609.49
2022년09월29일,1980.76,1693.28,1828.79,1607.45
