,서울,서울,서울,서울,강원도,강원도,강원도,강원도,충청도,충청도,충청도,충청도,전라도,전라도,전라도,전라도,경상도,경상도,경상도,경상도
,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수,광업,전기업 및 가스업,제조업,총지수
index,,,,,,,,,,,,,,,,,,,,
202012,118.35,138.467,113.133,115.033,110.6,118.9,105.8,108.1,99.933,125.25,111.675,112.725,99.95,133.133,101.967,103.633,120.0,121.64,110.76,111.54
202101,75.8,155.9,109.0,112.533,84.6,124.7,92.3,96.8,58.433,145.175,106.275,108.8,72.3,135.733,101.967,103.533,112.325,127.96,103.36,105.04
202102,68.55,125.433,101.9,103.633,83.1,104.5,87.4,89.7,64.833,113.625,100.25,101.275,69.3,111.533,97.267,97.6,99.55,119.0,93.0,94.6
202103,124.4,115.333,118.1,117.333,100.5,116.6,113.4,113.1,102.433,104.5,115.575,115.025,84.1,111.167,112.533,112.1,147.625,110.8,112.54,112.4
202104,128.95,92.967,112.6,110.6,108.9,104.7,100.1,101.3,117.467,89.4,110.85,109.5,109.25,99.433,112.6,111.733,142.3,107.16,111.68,111.22
202105,108.6,91.1,105.667,104.5,105.8,92.2,96.5,96.4,108.7,88.8,105.975,104.95,119.0,98.067,107.467,107.0,132.275,100.72,104.92,104.56
202106,103.1,90.0,114.6,112.433,108.3,97.1,101.2,101.0,115.767,82.1,113.25,111.7,122.25,96.067,107.167,106.767,125.35,91.82,110.42,109.26
202107,94.8,103.3,110.4,110.033,108.2,126.6,98.6,103.4,105.767,100.35,110.55,109.8,113.8,98.467,106.6,106.467,115.9,103.08,110.66,110.14
202108,92.7,98.3,107.667,107.3,101.8,117.7,93.8,97.9,87.067,92.675,105.05,104.375,92.95,92.933,101.833,101.533,101.175,98.88,96.88,96.82
202109,95.25,86.1,109.933,108.067,96.8,108.7,93.0,95.6,96.967,90.15,115.975,114.45,84.65,88.8,104.133,103.367,108.0,89.72,100.34,99.52
202110,118.8,86.067,114.167,111.567,97.7,110.4,102.2,103.2,109.567,79.525,108.95,107.15,94.1,99.633,110.833,110.333,123.125,92.9,106.82,105.78
202111,115.15,96.067,114.233,112.267,106.9,97.2,111.2,108.8,107.533,88.4,113.9,112.475,89.5,116.9,113.633,114.1,136.9,98.18,112.98,111.78
202112,111.6,137.1,123.367,124.533,105.1,113.8,113.8,113.3,101.3,136.85,123.325,124.425,94.0,138.7,114.933,116.133,124.125,123.48,120.76,120.96
202201,94.95,150.767,109.567,113.267,88.3,127.9,105.5,107.9,75.367,155.35,109.9,112.65,70.85,146.167,109.9,111.7,100.5,131.24,107.7,109.2
202202,71.7,131.267,102.1,104.567,73.0,123.5,89.6,93.8,69.033,139.15,101.975,104.075,62.35,132.5,98.967,100.7,87.375,119.42,98.64,99.82
202203,91.1,127.6,118.333,118.667,89.9,106.7,113.1,110.8,93.933,121.025,121.925,121.95,78.25,118.433,114.367,114.3,127.225,119.02,116.06,116.08
202204,101.4,89.433,115.967,113.167,94.7,101.1,109.5,107.3,93.233,97.1,112.4,111.325,106.25,103.333,111.033,110.367,149.15,111.44,112.38,112.34
202205,97.25,80.167,117.967,114.467,105.3,96.7,111.4,108.8,97.967,97.4,115.65,114.325,113.45,100.967,115.767,114.833,133.4,107.32,113.66,113.44
202206,90.45,78.933,115.833,112.6,97.5,115.9,106.2,107.1,111.967,90.875,113.95,112.675,104.55,87.033,111.867,110.333,135.55,105.26,111.48,111.22
202207,102.15,95.533,113.9,112.067,94.1,134.7,103.4,107.6,93.9,100.675,110.525,109.85,100.6,95.733,113.733,112.767,131.625,114.26,113.82,113.92
202208,86.3,92.233,110.3,108.4,94.6,138.8,104.8,109.4,81.733,112.525,105.275,104.75,82.95,99.867,108.2,108.067,128.55,105.8,106.06,106.32
202209,113.5,72.267,113.667,109.5,93.0,110.2,100.7,101.7,80.2,77.275,113.325,110.725,84.55,97.2,108.4,107.967,107.7,91.9,107.2,106.36
202210,78.05,74.767,111.5,107.867,101.1,117.1,109.7,110.3,105.567,71.35,110.35,107.8,75.55,106.5,108.733,108.833,132.1,99.94,113.42,112.68
202211,91.9,92.733,112.6,110.1,105.9,110.7,112.0,111.4,105.733,104.575,112.625,112.1,85.75,106.067,111.3,111.0,143.075,107.28,115.68,115.08
202212,72.55,147.067,112.233,114.733,100.9,166.2,114.0,121.2,91.267,154.425,108.125,111.075,77.55,138.3,106.533,108.033,139.75,124.78,115.1,115.66
202301,55.0,146.067,96.7,100.3,82.9,172.5,98.7,109.0,67.733,157.2,100.45,103.725,62.7,146.767,101.533,104.3,102.95,126.8,103.04,104.56
202302,67.5,121.833,94.933,96.733,86.4,152.1,107.3,112.9,60.0,137.4,101.575,103.55,69.05,123.3,102.933,103.967,122.25,112.76,107.82,108.1
202303,85.6,100.867,110.1,108.3,94.4,134.2,114.2,116.1,91.733,117.9,111.85,111.825,84.25,131.733,115.933,117.267,100.75,109.9,119.22,118.54
202304,74.1,80.3,104.3,101.3,100.8,131.2,103.0,107.2,93.667,95.5,105.975,105.025,96.4,116.333,107.067,108.1,131.925,80.36,111.36,109.46
202305,81.9,78.7,104.7,101.867,106.3,127.1,109.0,111.6,102.5,103.65,110.65,109.9,99.45,106.9,108.967,109.233,163.925,81.92,109.94,108.28
202306,81.5,84.7,111.6,109.1,99.1,113.5,108.3,108.6,96.633,101.05,113.35,112.3,99.65,103.867,110.6,110.633,157.3,88.42,109.98,108.46
202307,73.05,95.467,114.5,112.4,94.6,119.5,105.0,106.6,70.667,119.325,101.35,101.4,76.75,104.333,107.8,108.133,108.325,96.86,104.74,104.12
202308,72.2,99.267,113.467,111.967,92.6,131.0,104.1,107.5,71.5,108.475,100.65,100.5,96.4,107.167,104.567,105.3,119.15,100.16,102.82,102.58
202309,76.7,83.667,114.9,111.967,86.0,119.2,109.7,109.7,79.267,107.725,103.45,103.025,93.45,101.333,103.667,104.0,115.15,93.8,104.2,103.66
202310,82.9,77.5,113.333,109.767,100.1,102.9,107.1,106.0,100.4,93.65,106.225,105.1,91.7,103.1,102.167,102.433,126.525,100.02,107.56,107.28
202311,102.15,105.4,118.967,117.433,107.0,116.8,113.7,113.8,107.7,103.45,110.475,110.05,82.8,117.767,106.933,107.333,145.15,104.84,112.68,112.32
202312,86.35,134.4,124.467,125.267,96.0,136.7,100.3,105.6,94.3,138.5,108.4,110.325,96.35,129.4,101.833,103.3,129.625,118.54,111.16,111.62
202401,85.95,145.9,118.667,120.3,89.2,145.4,103.1,108.7,82.433,153.425,106.875,109.625,68.85,137.9,109.8,111.1,115.025,128.6,113.1,114.0
202402,76.55,122.4,111.867,112.367,79.6,118.1,92.6,95.7,64.733,130.8,98.175,100.0,55.45,125.6,98.133,99.867,89.025,111.54,100.26,100.88
202403,91.9,122.033,123.733,123.2,90.6,126.3,104.6,107.1,94.267,140.1,107.85,109.15,70.15,137.4,107.133,109.2,99.575,108.54,113.24,112.82
202404,94.95,94.067,120.9,118.0,89.8,106.5,109.0,107.5,82.433,115.025,108.075,107.825,67.05,110.7,111.967,111.967,103.475,90.14,113.84,112.36
