,연도,월,그룹,계약구분,사용량(kWh),전기요금(원),평균판매단가(원/kWh)
120,2015,2,강원도,"출판영상,방송통신정보서비스업",24631197.0,2980037500.0,121.0
121,2015,2,강원도,하수폐기처리원료재생환경복원,21584085.0,2645598172.0,122.6
122,2015,2,강원도,"협회단체,수리기타개인서비스업",24972297.0,3295601739.0,132.0
123,2015,2,경상도,"가구내고용,미분류자가소비생산",244254.0,41434001.0,176.05
124,2015,2,경상도,건설업 ,62137677.0,8586444923.0,139.04000000000002
125,2015,2,경상도,"공공행정, 국방 및 사회보장 행정",107642469.0,14104364566.0,131.32
126,2015,2,경상도,광업 ,27655624.0,4015562876.0,146.98
127,2015,2,경상도,교육 서비스업,198917465.0,23023390535.0,116.25999999999999
128,2015,2,경상도,국제 및 외국기관,9830370.0,1083763238.0,109.725
129,2015,2,경상도,금융 및 보험업 ,41848460.0,5832992685.0,139.8
130,2015,2,경상도,"농업, 임업 및 어업 ",443028800.0,21169462472.0,48.96
131,2015,2,경상도,도매 및 소매업,427056387.0,57087541558.0,133.82
132,2015,2,경상도,보건업 및 사회복지 서비스업,161539054.0,19132228043.0,120.05999999999999
133,2015,2,경상도,부동산업 및 임대업 ,454010254.0,62805255372.0,138.28
134,2015,2,경상도,"사업시설관리,사업지원서비스업",32434888.0,4646028926.0,144.14000000000001
135,2015,2,경상도,숙박 및 음식점업 ,404198595.0,51936618568.0,128.51999999999998
136,2015,2,경상도,"예술,스포츠및여가관련서비스업",96748098.0,13403031752.0,138.24
137,2015,2,경상도,운수업,170307813.0,19692140457.0,119.75999999999999
138,2015,2,경상도,"전기, 가스, 증기 및 수도사업 ",311264813.0,37489941096.0,125.54
139,2015,2,경상도,"전문, 과학 및 기술 서비스업 ",30028638.0,4099891955.0,137.48
140,2015,2,경상도,제조업 ,6803979971.0,785783500768.0,118.55999999999999
141,2015,2,경상도,"출판영상,방송통신정보서비스업",94875531.0,11876795300.0,124.97999999999999
142,2015,2,경상도,하수폐기처리원료재생환경복원,146998211.0,17737717108.0,119.72
143,2015,2,경상도,"협회단체,수리기타개인서비스업",190380156.0,24863797727.0,130.95999999999998
144,2015,2,서울,"가구내고용,미분류자가소비생산",149328.0,20171416.0,129.70000000000002
145,2015,2,서울,건설업 ,135625725.0,17606710830.0,129.1
146,2015,2,서울,"공공행정, 국방 및 사회보장 행정",202383895.0,25791848472.0,127.86666666666667
147,2015,2,서울,광업 ,25457275.0,3664685372.0,141.79999999999998
148,2015,2,서울,교육 서비스업,363905833.0,41410541065.0,115.23333333333333
149,2015,2,서울,국제 및 외국기관,34354888.0,3842749429.0,110.65
150,2015,2,서울,금융 및 보험업 ,80550368.0,10448601114.0,130.43333333333334
151,2015,2,서울,"농업, 임업 및 어업 ",242604571.0,11829790181.0,52.6
152,2015,2,서울,도매 및 소매업,913782729.0,120698619997.0,131.93333333333334
